fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.7;0.489;0.252;3.6;0.082;1;145;0.9977;3.37;0.81;11.0;6
7.9;0.602;0.49;1.5;0.079;1;21;0.9946;3.33;0.5;10.9;7
9.2;0.477;0.33;2.9;0.118;4;136;0.9983;3.26;0.63;9.2;3
7.0;0.257;0.054;0.9;0.058;22;82;0.9951;3.43;0.69;11.0;8
7.0;0.391;0.195;3.2;0.077;39;149;0.9975;3.37;0.58;10.0;3
11.0;0.374;0.113;1.3;0.016;17;41;0.9963;3.19;0.54;10.0;8
8.8;0.41;0.18;1.3;0.125;10;67;0.9947;3.36;0.66;11.6;8
7.0;0.64;0.814;1.8;0.086;20;127;0.9953;3.45;0.68;10.6;7
9.7;0.515;0.582;2.0;0.151;17;132;0.9961;3.22;0.53;10.2;4
8.6;0.872;0.176;2.4;0.134;25;166;0.9976;3.28;1.0;10.0;4
8.0;0.297;0.305;0.9;0.122;16;38;0.9961;3.3;0.98;9.4;8
9.0;0.592;0.248;1.9;0.088;17;54;0.997;3.27;0.37;9.1;6
7.0;0.578;0.019;1.9;0.097;24;183;0.9964;3.4;0.55;9.5;4
9.2;0.409;0.209;2.6;0.102;11;157;0.9964;3.27;0.57;10.6;8
8.1;0.613;0.461;1.7;0.018;18;151;0.9952;3.36;0.69;10.8;4
8.4;0.28;0.0;3.7;0.111;5;59;0.9981;3.28;0.95;10.9;8
7.9;0.928;0.0;3.5;0.075;14;173;0.9998;3.3;0.89;8.4;3
9.4;0.561;0.428;3.9;0.101;23;152;0.9986;3.41;0.65;9.5;3
5.7;0.422;0.346;3.5;0.139;13;108;0.9972;3.45;0.66;10.1;6
7.2;0.591;0.254;3.3;0.136;12;48;0.9967;3.33;0.55;11.0;6
6.2;0.636;0.0;2.0;0.105;31;84;0.9955;3.49;0.46;11.3;7
7.3;0.12;0.419;3.1;0.087;17;167;0.9954;3.36;0.79;11.9;8
9.1;0.277;0.0;0.9;0.084;14;148;0.9947;3.27;0.58;11.7;8
8.4;0.384;0.228;0.9;0.048;20;76;0.9965;3.33;0.89;8.4;3
6.8;0.587;0.545;2.6;0.067;10;133;0.9971;3.41;0.49;10.1;7
5.7;0.192;0.184;1.8;0.076;21;166;0.9945;3.5;0.76;10.9;7
7.9;0.604;0.332;0.9;0.041;23;64;0.9969;3.33;0.97;9.5;5
7.7;0.506;0.127;4.9;0.057;27;84;0.9984;3.43;0.43;10.6;4
8.4;0.847;0.138;2.8;0.095;9;32;0.9975;3.22;0.71;11.3;6
10.0;0.12;0.536;0.9;0.066;35;79;0.9947;3.26;0.96;11.1;8
7.7;0.365;0.12;1.4;0.048;24;79;0.9964;3.33;0.66;10.3;6
5.5;0.438;0.136;4.5;0.112;11;149;0.998;3.47;0.79;10.3;7
6.9;0.607;0.386;3.6;0.143;10;156;0.998;3.41;0.55;9.9;4
9.4;0.29;0.158;0.9;0.096;18;164;0.9948;3.3;0.85;10.5;8
7.0;0.399;0.381;0.9;0.074;9;56;0.994;3.42;0.79;10.4;8
8.6;0.439;0.193;1.9;0.043;16;36;0.9951;3.35;0.91;10.4;8
9.6;0.925;0.219;2.4;0.087;35;118;0.9983;3.24;0.74;9.0;6
6.9;0.302;0.104;0.9;0.085;1;125;0.9958;3.41;0.55;9.6;7
8.1;0.303;0.18;1.6;0.116;19;77;0.9955;3.36;0.57;11.5;8
5.7;0.689;0.334;1.0;0.076;18;164;0.9957;3.53;0.83;9.0;3
7.8;0.533;0.11;4.5;0.147;1;79;0.9988;3.33;0.66;9.2;4
9.5;0.68;0.296;1.8;0.05;21;58;0.9961;3.2;0.82;10.2;7
10.0;0.564;0.387;3.8;0.124;19;68;0.9961;3.28;0.53;12.0;8
6.9;0.551;0.286;0.9;0.045;7;136;0.995;3.44;0.86;9.4;4
8.8;0.533;0.437;4.1;0.061;13;130;0.9976;3.24;0.67;9.9;7
9.7;0.604;0.253;3.8;0.093;4;79;0.9976;3.21;0.33;10.4;3
10.0;0.705;0.398;0.9;0.17;35;164;0.9943;3.26;0.56;11.2;6
10.4;0.557;0.202;4.6;0.073;23;103;0.9971;3.19;0.43;10.2;8
6.2;0.471;0.032;3.5;0.078;35;171;0.9969;3.5;0.96;11.5;7
7.0;0.866;0.326;2.9;0.112;18;161;0.9967;3.52;0.51;10.2;5
10.0;0.667;0.001;2.7;0.066;2;90;0.9972;3.3;0.68;10.0;4
9.8;0.302;0.303;0.9;0.117;8;65;0.9956;3.24;0.89;10.3;7
5.4;0.452;0.314;3.5;0.023;17;173;0.9979;3.51;0.52;10.3;6
8.8;0.742;0.288;1.9;0.194;1;38;0.9951;3.34;0.57;11.2;5
6.3;0.557;0.291;2.9;0.13;11;146;0.9968;3.43;0.61;10.7;7
9.5;0.329;0.752;4.4;0.133;2;53;0.9988;3.16;0.47;9.4;5
9.2;0.51;0.111;1.1;0.081;1;50;0.9948;3.3;0.72;11.8;8
7.9;0.29;0.336;2.2;0.115;11;94;0.9957;3.36;0.4;9.5;3
6.0;0.164;0.091;3.4;0.035;1;136;0.9969;3.53;0.75;10.7;6
7.4;0.715;0.442;1.4;0.012;4;35;0.9952;3.36;0.66;11.4;8
11.1;0.77;0.378;0.9;0.237;4;118;0.9951;3.1;0.65;10.6;4
5.2;0.62;0.463;1.3;0.052;23;89;0.9952;3.47;0.75;9.4;6
7.0;0.941;0.349;0.9;0.054;18;83;0.9936;3.38;0.83;10.1;4
6.3;0.421;0.323;0.9;0.138;4;52;0.996;3.37;0.46;8.4;3
10.8;0.855;0.178;1.8;0.115;26;123;0.9956;3.14;1.1;12.1;8
9.8;0.234;0.273;1.3;0.085;30;84;0.996;3.28;0.33;9.4;4
10.1;0.273;0.224;5.1;0.012;27;118;0.9991;3.28;0.72;9.8;7
7.9;0.653;0.43;1.4;0.129;5;70;0.9962;3.31;0.61;10.9;6
8.0;0.467;0.262;0.9;0.102;6;118;0.9963;3.34;0.87;8.4;3
7.9;0.77;0.032;0.9;0.105;1;78;0.9952;3.22;0.73;10.0;5
6.7;0.755;0.086;0.9;0.135;1;74;0.9945;3.32;0.55;11.8;8
8.0;0.245;0.005;5.0;0.086;11;119;0.9979;3.3;0.69;11.3;5
10.5;0.611;0.228;3.9;0.117;25;124;0.9993;3.24;0.69;9.9;4
7.1;0.605;0.224;1.4;0.094;15;147;0.9944;3.42;0.68;11.6;8
6.8;0.718;0.162;1.3;0.087;35;82;0.9952;3.48;0.51;11.1;3
5.8;0.381;0.694;1.8;0.06;2;126;0.9956;3.37;0.56;11.7;8
7.3;0.834;0.153;1.6;0.051;5;119;0.9972;3.32;0.61;8.9;4
6.7;0.45;0.431;0.9;0.056;23;147;0.9954;3.29;0.74;10.6;6
4.6;0.443;0.33;1.5;0.108;5;137;0.9975;3.63;0.66;9.4;7
10.9;0.704;0.072;6.4;0.074;19;149;0.9994;3.09;0.51;11.8;8
7.0;0.309;0.437;0.9;0.11;20;43;0.9961;3.38;0.82;9.5;8
9.0;0.649;0.197;1.8;0.099;24;112;0.9958;3.32;0.61;12.1;8
6.7;0.259;0.427;2.0;0.086;10;88;0.9946;3.48;0.82;11.0;8
8.2;0.12;0.407;2.9;0.073;11;167;0.9979;3.34;0.46;9.8;6
8.9;0.358;0.151;0.9;0.08;14;144;0.9947;3.28;0.66;10.8;7
6.9;0.597;0.586;2.1;0.107;16;156;0.9964;3.41;0.65;10.7;7
7.7;0.485;0.551;2.7;0.09;24;68;0.9956;3.34;0.92;10.9;5
8.3;0.434;0.264;0.9;0.085;32;173;0.9958;3.34;0.74;9.2;4
6.4;0.544;0.197;0.9;0.1;13;44;0.9953;3.51;0.61;10.1;4
7.5;0.741;0.263;0.9;0.103;28;167;0.995;3.36;0.81;9.3;3
6.9;0.559;0.177;3.9;0.072;18;97;0.9992;3.5;0.58;9.6;7
9.1;0.588;0.31;2.3;0.014;3;101;0.9969;3.23;0.58;10.1;7
7.9;0.158;0.194;0.9;0.057;10;110;0.9945;3.37;0.72;11.7;8
6.7;0.539;0.062;3.5;0.015;34;139;0.9975;3.5;0.61;10.3;4
7.8;0.633;0.23;1.3;0.085;16;157;0.9964;3.41;0.5;9.9;7
8.4;0.561;0.433;1.7;0.119;12;111;0.9959;3.36;0.37;10.6;8
7.4;0.393;0.173;1.0;0.057;18;143;0.9948;3.45;0.8;11.0;5
8.1;0.693;0.315;2.3;0.084;13;52;0.9971;3.42;0.77;10.4;6
8.6;0.677;0.216;0.9;0.123;1;31;0.9967;3.32;0.69;10.1;6
6.4;0.267;0.158;1.9;0.097;24;156;0.9962;3.45;0.68;9.0;4
8.5;0.409;0.105;1.5;0.06;21;88;0.9952;3.31;0.61;10.9;4
7.7;0.35;0.479;3.7;0.02;16;63;0.9979;3.34;0.76;9.1;3
8.2;0.312;0.278;0.9;0.012;23;122;0.9965;3.28;0.5;9.3;5
8.4;0.377;0.318;2.4;0.1;7;90;0.9959;3.41;0.65;12.2;8
9.2;0.324;0.092;2.4;0.02;10;155;0.996;3.23;0.37;11.0;6
8.0;0.598;0.298;3.6;0.065;13;57;0.9983;3.28;0.46;10.5;6
8.7;0.666;0.236;4.0;0.059;27;157;0.9989;3.34;0.62;10.2;4
10.3;0.303;0.0;3.4;0.061;11;79;0.9964;3.15;0.61;12.0;8
9.1;0.461;0.068;4.4;0.11;2;138;0.9983;3.26;0.64;9.0;3
8.6;0.446;0.347;3.3;0.182;8;47;0.9969;3.38;0.67;12.1;8
9.5;0.199;0.411;2.8;0.089;10;82;0.9961;3.16;0.83;12.0;8
9.3;0.291;0.398;2.6;0.13;12;94;0.9972;3.28;0.94;9.6;4
8.6;0.372;0.706;1.1;0.055;17;90;0.9961;3.22;0.33;9.9;6
8.8;0.289;0.017;1.8;0.081;27;86;0.9956;3.32;0.39;10.4;6
4.6;0.687;0.301;4.1;0.082;17;44;0.9987;3.54;0.54;10.5;8
8.5;0.659;0.074;2.7;0.066;11;128;0.997;3.3;0.97;11.4;8
8.9;0.586;0.373;0.9;0.08;3;38;0.9954;3.3;0.63;11.1;8
6.3;0.82;0.493;2.3;0.083;8;48;0.9976;3.44;0.65;9.1;5
7.6;0.455;0.329;2.4;0.04;14;172;0.9959;3.38;0.5;10.1;6
7.8;0.836;0.299;1.1;0.141;4;126;0.9957;3.27;0.45;10.2;4
9.1;0.799;0.029;3.0;0.038;2;30;0.9977;3.29;0.69;9.3;3
8.3;0.718;0.192;4.4;0.084;15;61;0.9998;3.35;0.94;9.4;3
8.9;0.642;0.473;0.9;0.118;9;165;0.9959;3.26;0.46;10.3;6
5.6;0.735;0.373;3.3;0.042;14;126;0.9984;3.42;0.72;10.0;6
7.6;0.563;0.372;1.5;0.119;15;172;0.9955;3.33;0.72;10.2;6
5.8;0.616;0.244;0.9;0.043;19;147;0.9961;3.41;0.67;9.7;4
6.3;0.124;0.082;4.3;0.043;10;85;0.9994;3.49;0.58;9.9;4
7.9;0.39;0.223;2.4;0.13;24;172;0.9969;3.38;0.66;9.9;4
9.2;0.404;0.476;3.7;0.107;8;76;0.9983;3.21;0.86;11.0;6
4.6;0.313;0.054;1.7;0.086;17;147;0.9954;3.48;0.75;11.6;8
5.9;0.441;0.388;3.2;0.151;15;108;0.9998;3.52;0.7;8.6;3
